市,年份,供地面积_公顷,成交价格_万元,平均价格_万元每公顷,制造业_总面积,制造业_总价值,制造业_平均价格,制造业_占比,房地产业_总面积,房地产业_总价值,房地产业_平均价格,房地产业_占比,高科技产业_总面积,高科技产业_总价值,高科技产业_平均价格,高科技产业_占比,生产性服务业_总面积,生产性服务业_总价值,生产性服务业_平均价格,生产性服务业_占比,消费性服务业_总面积,消费性服务业_总价值,消费性服务业_平均价格,消费性服务业_占比,第二产业_总面积,第二产业_总价值,第二产业_平均价格,第二产业_占比,第三产业_总面积,第三产业_总价值,第三产业_平均价格,第三产业_占比,土地来源_新增建设用地,土地来源_新增建设用地(来自存量库),土地来源_现有建设用地,供地方式_作价出资或入股,供地方式_划拨,供地方式_协议出让,供地方式_拍卖出让,供地方式_招标出让,供地方式_挂牌出让,供地方式_授权经营,供地方式_租赁,供地方式_价格_划拨,供地方式_价格_挂牌出让,供地方式_价格_拍卖出让,供地方式_价格_协议出让,供地方式_价格_租赁,供地方式_价格_招标出让,供地方式_价格_作价出资或入股,供地方式_价格_授权经营,供地方式_价格_nan
石家庄,2018,796.8615,1358206.135,1704.44,130.9028,60749.56210000001,464.08,0.1643,221.5931,1106720.3031,4994.38,0.2781,13.715,8469.8561,617.56,0.0172,52.9353,23149.8247,437.32,0.0664,75.3335,37033.3702,491.59,0.0945,177.54410000000004,87669.2823,493.79,0.2228,533.0483000000002,1209438.1715999998,2268.91,0.6689,669.846,49.620999999999995,77.3945,0.0,214.7347,14.1063,0.0,0.0,563.8876,0.0,4.1329,134.9153797686168,2348.522828663017,0.0,309.862969028023,135.78842943211788,0.0,0.0,0.0,0.0
石家庄,2019,903.8427,1251424.5653,1384.56,100.97579999999999,45374.2625,449.36,0.1117,160.3011,1034927.1813,6456.15,0.1774,15.5163,8233.0,530.6,0.0172,70.6882,19386.04,274.25,0.0782,131.747,56947.88429999999,432.25,0.1458,224.99539999999996,111505.4725,495.59,0.2489,654.3764999999999,1127826.5243000004,1723.51,0.724,775.0337,60.969800000000006,67.8392,0.0,450.4244,35.501,42.494,0.0,372.5446,0.0,2.8787,99.41878193099663,2984.1527433225447,1985.174377559185,280.7506830793499,204.60624587487408,0.0,0.0,0.0,0.0
石家庄,2020,860.6312,1092615.5757,1269.55,185.93399999999997,151690.11669999998,815.83,0.216,139.4466,712470.3936,5109.27,0.162,67.07610000000001,65901.0,982.48,0.0779,109.01910000000001,74426.5857,682.69,0.1267,106.87839999999998,53711.653999999995,502.55,0.1242,244.01579999999996,189998.61279999997,778.63,0.2835,573.7955000000002,873012.9629,1521.47,0.6667,760.0763,18.5383,82.0166,0.0,275.7518,9.3681,38.3825,0.0,519.3859,0.0,17.7429,132.55002143231704,1424.7759088184719,8139.646974532665,241.19298470340837,77.58771114079435,0.0,0.0,0.0,0.0
石家庄,2021,964.4734,841135.9163,872.12,156.2351,94327.5,603.75,0.162,94.47269999999999,484174.71369999996,5125.02,0.098,40.4944,28919.0,714.15,0.042,83.9432,36263.6422,432.0,0.087,203.45049999999998,94278.3333,463.4,0.2109,190.535,113026.27519999999,593.2,0.1976,717.1692,696531.6706,971.22,0.7436,814.7471,59.62859999999999,90.09769999999999,0.0,465.029,44.8895,58.263000000000005,0.0,363.5425,0.0,32.7494,273.5741899967529,1442.8037957047663,2959.167911024149,378.38437496519225,0.0,0.0,0.0,0.0,0.0
石家庄,2022,909.6556,535812.8783,589.03,96.44260000000001,87094.4,903.07,0.106,101.5125,247818.1076,2441.26,0.1116,75.419,45373.0,601.61,0.0829,52.513400000000004,14764.135600000001,281.15,0.0577,173.7849,26446.373700000004,152.18,0.191,141.9683,109221.0594,769.33,0.1561,729.5175999999999,407812.4145000001,559.02,0.802,756.7765,93.5787,59.300399999999996,0.0,473.6561,60.0964,151.6319,0.0,195.2743,0.0,28.996900000000004,204.93781944326273,803.6827682905533,1750.8716833331246,271.5011215314062,0.0,0.0,0.0,0.0,0.0
唐山,2008,355.8014,90935.9914,255.58,87.938,0.0,0.0,0.2472,117.2274,0.0,0.0,0.3295,0.0,0.0,0.0,0.0,53.3315,0.0,0.0,0.1499,49.4852,0.0,0.0,0.1391,111.17790000000001,0.0,0.0,0.3125,220.28,0.0,0.0,0.6191,185.5292,21.5077,148.7645,0.0,23.413,31.040100000000002,11.828800000000001,18.333199999999998,271.1863,0.0,0.0,105.17214368086107,265.8305729308597,460.4039885702692,181.329264403143,0.0,289.61017716492483,0.0,0.0,0.0
唐山,2009,767.7312,222426.6271,289.72,275.56640000000004,52022.303,188.78,0.3589,146.3414,122927.62469999999,840.01,0.1906,0.0,0.0,0.0,0.0,69.9982,16671.9655,238.18,0.0912,41.2356,3033.0057,73.55,0.0537,464.44219999999996,69858.8061,150.41,0.605,270.0833,143663.84029999998,531.92,0.3518,392.2513,256.5654,118.9145,0.0,160.6256,6.7078,7.4321,13.2758,579.6899,0.0,0.0,15.39093830622267,350.1014464802647,1270.9565264191817,385.09627597722056,0.0,374.7533933924886,0.0,0.0,0.0
唐山,2010,1295.1648,925955.3382,714.93,283.8976,40925.9329,144.16,0.2192,440.0193,765201.8489,1739.02,0.3397,0.3335,300.114,899.89,0.0003,109.3887,38338.32060000001,350.48,0.0845,29.7573,15328.824399999998,515.13,0.023,402.03330000000005,58359.1538,145.16,0.3104,727.9479,839120.7026,1152.72,0.5621,580.9503,166.6472,547.5672999999999,0.0,222.17,26.121399999999998,25.9198,0.2889,1020.6647,0.0,0.0,74.14392312193367,838.154652943322,1823.2055957221894,249.63663509612812,0.0,795.8899273104881,0.0,0.0,0.0
唐山,2011,1237.6861,689249.5141,556.89,283.2871,63309.374899999995,223.48,0.2289,393.637,528004.6348,1341.35,0.318,0.0,0.0,0.0,0.0,197.6639,16213.0342,82.02,0.1597,29.0705,13378.8197,460.22,0.0235,528.2716000000001,111321.21789999997,210.73,0.4268,631.6779,561180.5122,888.4,0.5104,533.1272,99.6918,604.8671,0.0,156.565,87.5902,7.3414,0.0,986.1895,0.0,0.0,27.74007856161978,581.734419297711,812.7895360557932,1201.492855365098,0.0,0.0,0.0,0.0,0.0
唐山,2012,1319.4914,679339.7274,514.85,174.6848,35801.0122,204.95,0.1324,171.9704,287233.299,1670.25,0.1303,5.0282,400.0,79.55,0.0038,64.8391,56880.20510000001,877.25,0.0491,87.2317,27520.986399999994,315.49,0.0661,724.742,153225.66410000002,211.42,0.5493,466.1223000000001,501496.51950000005,1075.89,0.3533,472.4617,139.6686,707.3611,0.0,55.144499999999994,38.132600000000004,47.8205,0.0,1178.3938,0.0,0.0,9.583508781474128,521.0525033312293,1096.5512656705805,324.357122252351,0.0,0.0,0.0,0.0,0.0
