	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)	(304)	(305)	(306)	(307)	(308)	(309)	(310)	(311)	(312)	(313)	(314)	(315)	(316)	(317)	(318)	(319)	(320)	(321)	(322)	(323)	(324)	(325)	(326)	(327)	(328)	(329)	(330)	(331)	(332)	(333)	(334)	(335)
VARIABLES	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: High Fiscal Pressure	Mech 3 Hetero: Low Fiscal Pressure	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: High Economic Growth Pressure	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: Soft Economic Growth Constraint	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: Hard Economic Growth Constraint	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: New Budget Law Moderation	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Financial Development Level Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Fiscal Pressure Moderation	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level	Mech 3 Hetero: Low Economic Growth Pressure	Mech 3 Hetero: Economic Growth Pressure Moderation	Mech 3 Hetero: No Soft Economic Growth Constraint	Mech 3 Hetero: Soft Economic Growth Constraint Moderation	Mech 3 Hetero: No Hard Economic Growth Constraint	Mech 3 Hetero: Hard Economic Growth Constraint Moderation	Mech 3 Hetero: Pre-New Budget Law (Before 2014)	Mech 3 Hetero: Post-New Budget Law (2014 and Later)	Mech 3 Hetero: High Financial Development Level	Mech 3 Hetero: Low Financial Development Level
																																																																																																																																																																																																																																																																																																																																															
did	38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		38.37*	113.4***		90.07***	64.25		112.9***	274.8***		306.9***	44.43		69.67***	49.73		185.1***	19.03		42.50*	114.6***		88.85***	55.80		113.0***	276.1***		308.4***	47.15		67.97***	43.55		175.9***	26.13*		42.50*	114.6***		88.85***	55.80		113.0***	276.1***		308.4***	47.15		67.97***	43.55		175.9***	26.13*		132.5***	20.37	95.42**	14.79	43.48	106.3***	200.5***	260.9***	32.84	-4.232	39.86	173.3***	-26.62																																																																																								
	(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.77)	(41.44)		(25.51)	(41.49)		(28.58)	(64.40)		(49.65)	(31.12)		(23.57)	(34.75)		(49.15)	(15.14)		(21.69)	(41.97)		(25.52)	(41.23)		(28.65)	(64.84)		(49.64)	(31.21)		(23.56)	(34.54)		(49.25)	(15.04)		(21.69)	(41.97)		(25.52)	(41.23)		(28.65)	(64.84)		(49.64)	(31.21)		(23.56)	(34.54)		(49.25)	(15.04)		(26.15)	(25.70)	(45.62)	(27.21)	(42.51)	(30.13)	(70.17)	(53.31)	(32.74)	(26.99)	(35.50)	(53.41)	(17.07)																																																																																								
ltr	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000293***	0.000102***	0.000114***	0.000177***	8.45e-05***	0.000114***	0.000125***	0.000172***	0.000114***	9.15e-05***	0.000157***	0.000114***	7.71e-05***	8.52e-05***	0.000114***	8.98e-05***	0.000169***	0.000114***	0.000290***	0.000101***	0.000113***	0.000176***	8.45e-05***	0.000113***	0.000124***	0.000172***	0.000113***	9.15e-05***	0.000155***	0.000113***	7.66e-05***	8.55e-05***	0.000113***	9.03e-05***	0.000171***	0.000113***	0.000290***	0.000101***	0.000113***	0.000176***	8.45e-05***	0.000113***	0.000124***	0.000172***	0.000113***	9.15e-05***	0.000155***	0.000113***	7.66e-05***	8.55e-05***	0.000113***	9.03e-05***	0.000171***	0.000113***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000113***	0.000239***	8.41e-05***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***	0.000109***	6.70e-05***	0.000114***	9.18e-05**	2.89e-05	0.000133***	5.83e-05***	7.91e-05***	8.82e-05***	0.000129***
